n,trial,elapsed_nanos
1000,1,663792
1000,2,781208
1000,3,731208
1000,4,726667
1000,5,817042
1000,6,758125
1000,7,755125
2000,1,1644666
2000,2,1580375
2000,3,1614375
2000,4,1934333
2000,5,1858084
2000,6,1854500
2000,7,1364333
4000,1,3226875
4000,2,3176000
4000,3,3154083
4000,4,3005250
4000,5,3070333
4000,6,3753125
4000,7,3032542
8000,1,7455041
8000,2,8213416
8000,3,7008166
8000,4,7033792
8000,5,6651417
8000,6,7313000
8000,7,6902166
16000,1,14111417
16000,2,12283916
16000,3,13075833
16000,4,12171208
16000,5,10648791
16000,6,10078875
16000,7,8894750
32000,1,20167250
32000,2,16376958
32000,3,16301625
32000,4,18107334
32000,5,17985625
32000,6,17936375
32000,7,18426708
64000,1,34947958
64000,2,43876208
64000,3,33883625
64000,4,34898166
64000,5,32629375
64000,6,30805500
64000,7,31419292
128000,1,75983542
128000,2,71495875
128000,3,69776375
128000,4,67658417
128000,5,69036750
128000,6,68799125
128000,7,67850375
